layer	component	file	template	versace	loyalty	tv_diff	tl_diff	vl_diff	status
ui	accordion	Accordion.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	AccordionContent.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	AccordionItem.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	AccordionTrigger.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	composite/AccordionList.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	composite/expandable-item/ExpandableItem.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	composite/expandable-item/ExpandableItemSkeleton.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	composite/expandable-item/index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	composite/index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	accordion	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	Alert.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	AlertBox.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	AlertBoxSkeleton.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	AlertDescription.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	AlertTitle.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	badge	Badge.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	badge	StockBadge.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	badge	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	bottom-sheet	BottomSheet.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	bottom-sheet	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	Breadcrumb.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbEllipsis.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbItem.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbLink.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbList.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbPage.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	BreadcrumbSeparator.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	breadcrumb	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	button	Button.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	button	FloatingScanButton.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	button	IconButton.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	button	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	Calendar.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	CalendarHeader.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	CalendarHolidayLegend.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	CalendarMonthGrid.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	CalendarMonthPicker.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	CalendarYearPicker.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	composables/useCalendarClasses.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	composables/useHolidayMap.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	calendar	index.ts	✓	✓	✓	0	0	0	IDENTICAL
ui	card	Card.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	card	CardAction.vue	✓	✓	✓	0	0	0	IDENTICAL
ui	card	CardContent.vue	✓	✓	✓	0	0	0	IDENTICAL
