layer	component	template	versace	loyalty	template_vs_versace	template_vs_loyalty	versace_vs_loyalty	status
ui	accordion	✓	✓	✓	0	0	0	IDENTICAL
ui	alert	✓	✓	✓	0	0	0	IDENTICAL
ui	badge	✓	✓	✓	26	26	0	MAJOR_DIFF
ui	bottom-sheet	✓	✓	✓	17	0	17	MEDIUM_DIFF
ui	breadcrumb	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	button	✓	✓	✓	4	4	0	MINOR_DIFF
ui	calendar	✓	✓	✗	208	-	-	MISSING_IN_SOME
ui	card	✓	✓	✓	5	5	0	MINOR_DIFF
ui	checkbox	✓	✓	✓	9	9	0	MEDIUM_DIFF
ui	combobox	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	command	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	country-code-selector	✓	✓	✓	0	0	0	IDENTICAL
ui	date-picker	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	dialog	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	divider	✓	✓	✓	0	0	0	IDENTICAL
ui	drawer	✓	✓	✓	0	0	0	IDENTICAL
ui	dropdown-menu	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	empty-state	✓	✓	✓	9	0	9	MEDIUM_DIFF
ui	flag	✓	✓	✓	0	0	0	IDENTICAL
ui	form	✓	✓	✓	163	0	163	MAJOR_DIFF
ui	image	✓	✓	✓	6	0	6	MEDIUM_DIFF
ui	image-uploader	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	infinite-scroll-trigger	✓	✓	✓	0	0	0	IDENTICAL
ui	input	✓	✓	✓	11	11	0	MEDIUM_DIFF
ui	item	✓	✓	✓	0	0	0	IDENTICAL
ui	label	✓	✓	✓	0	0	0	IDENTICAL
ui	native-select	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	number-stepper	✓	✓	✓	0	0	0	IDENTICAL
ui	pill-tab	✓	✓	✓	0	0	0	IDENTICAL
ui	popover	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	progress	✓	✓	✓	0	0	0	IDENTICAL
ui	qr-scanner	✓	✓	✓	0	0	0	IDENTICAL
ui	radio-group	✓	✓	✓	0	0	0	IDENTICAL
ui	rich-editor	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	right-sheet	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	rounded-overlap	✓	✓	✓	0	0	0	IDENTICAL
ui	sheet	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	skeleton	✓	✓	✓	0	0	0	IDENTICAL
ui	sonner	✓	✓	✓	0	11	11	MEDIUM_DIFF
ui	swipeable-tabs	✓	✓	✓	27	0	27	MAJOR_DIFF
ui	swiper	✓	✓	✓	0	0	0	IDENTICAL
ui	switch	✓	✓	✓	0	0	0	IDENTICAL
ui	table	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	tag-input	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	textarea	✓	✓	✓	0	0	0	IDENTICAL
ui	time-picker	✓	✗	✗	-	-	-	MISSING_IN_SOME
ui	tooltip	✓	✓	✓	0	0	0	IDENTICAL
shared	bottom-sheets	✓	✓	✓	-	-	-	NO_ENTRY_FILE
shared	date-picker-bottom-sheet	✗	✓	✗	-	-	-	MISSING_IN_SOME
shared	location-picker	✓	✗	✓	-	0	-	MISSING_IN_SOME
shared	pull-to-refresh	✓	✓	✓	0	0	0	IDENTICAL
shared	search-input	✓	✓	✓	80	47	51	MAJOR_DIFF
shared	ticket-quantity-selector	✓	✓	✓	97	0	97	MAJOR_DIFF
